collection,collection_url,collection_address,asset_contract_address,ascending,cursor,page_num,n_request,limit
Bored Ape Yacht Club,https://opensea.io/collection/boredapeyachtclub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTAzKzE1JTNBMTYlM0EwNy4yMjgyNTgmLXBrPTcwNjI2MjU0MjA=,14233,100000,100
Mutant Ape Yacht Club,https://opensea.io/collection/mutant-ape-yacht-club,0x60E4d786628Fea6478F785A6d7e704777c86a7c6,0x60E4d786628Fea6478F785A6d7e704777c86a7c6,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTE0KzA3JTNBMTYlM0EwNC4zODkwMTAmLXBrPTY4NzU2ODQwOTM=,14567,100000,100
Azuki,https://opensea.io/collection/azuki,0xED5AF388653567Af2F388E6224dC7C4b3241C544,0xED5AF388653567Af2F388E6224dC7C4b3241C544,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA1LTMwKzA1JTNBMDklM0E1Ny4zNDQ1MjImLXBrPTY1MzgwMTQ3OTI=,14239,100000,100
CLONE X - X TAKASHI MURAKAMI,https://opensea.io/collection/clonex,0x49cF6f5d44E70224e2E23fDcdd2C053F30aDA28B,0x49cF6f5d44E70224e2E23fDcdd2C053F30aDA28B,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA1LTA0KzAxJTNBMzUlM0E1OC42MTM4MzYmLXBrPTU3MjA4MjUwNjA=,198224,100000,100
Moonbirds,https://opensea.io/collection/proof-moonbirds,0x23581767a106ae21c074b2276D25e5C3e136a68b,0x23581767a106ae21c074b2276D25e5C3e136a68b,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA1LTA0KzAxJTNBMzUlM0E1OC42MTM4MzYmLXBrPTU3MjA4MjUwNjA=,198224,100000,100
Doodles,https://opensea.io/collection/doodles-official,0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTAzLTMxKzAxJTNBMDMlM0ExOS44MDczNDEmLXBrPTQ1OTE1NzIyMTQ=,198363,100000,100
Meebits,https://opensea.io/collection/meebits,0x7Bd29408f11D2bFC23c34f18275bBf23bB716Bc7,0x7Bd29408f11D2bFC23c34f18275bBf23bB716Bc7,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTEzKzA2JTNBMjQlM0E1Mi4xMDg5MjkmLXBrPTY4NTUzOTM0MDQ=,44047,50000,100
Cool Cats NFT,https://opensea.io/collection/cool-cats-nft,0x1A92f7381B9F03921564a437210bB9396471050C,0x1A92f7381B9F03921564a437210bB9396471050C,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA1LTE4KzExJTNBMDYlM0E0OC4xNTQyNzUmLXBrPTYyNjAxODMyNTI=,92206,50000,100
Bored Ape Kennel Club,https://opensea.io/collection/bored-ape-kennel-club,0xba30E5F9Bb24caa003E9f2f0497Ad287FDF95623,0xba30E5F9Bb24caa003E9f2f0497Ad287FDF95623,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA1LTE5KzIyJTNBMjglM0EyMi43NzEwMDgmLXBrPTYzMjAwMTgxMTQ=,50925,50000,100
CrypToadz by GREMPLIN,https://opensea.io/collection/cryptoadz-by-gremplin,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTE4KzEzJTNBMDglM0EwNS42Mjc1NzcmLXBrPTY5NDY1OTYxNzc=,46709,50000,100
World of Women,https://opensea.io/collection/world-of-women-nft,0xe785E82358879F061BC3dcAC6f0444462D4b5330,0xe785E82358879F061BC3dcAC6f0444462D4b5330,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA0LTI0KzEzJTNBMzUlM0E0Mi4zOTk0NDcmLXBrPTUzNzMxOTE5ODE=,112446,50000,100
HAPE PRIME,https://opensea.io/collection/hapeprime,0x4Db1f25D3d98600140dfc18dEb7515Be5Bd293Af,0x4Db1f25D3d98600140dfc18dEb7515Be5Bd293Af,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTAzLTE1KzE5JTNBMDMlM0ExMi4yNzY0NDEmLXBrPTQxNTExNTIzNzM=,114253,50000,100
MekaVerse,https://opensea.io/collection/mekaverse,0x9A534628B4062E123cE7Ee2222ec20B86e16Ca8F,0x9A534628B4062E123cE7Ee2222ec20B86e16Ca8F,FALSE,,,,
Karafuru,https://opensea.io/collection/karafuru,0xd2F668a8461D6761115dAF8Aeb3cDf5F40C532C6,0xd2F668a8461D6761115dAF8Aeb3cDf5F40C532C6,FALSE,,,,
Invisible Friends,https://opensea.io/collection/invisiblefriends,0x59468516a8259058baD1cA5F8f4BFF190d30E066,0x59468516a8259058baD1cA5F8f4BFF190d30E066,FALSE,,,,
mfers,https://opensea.io/collection/mfers,0x79FCDEF22feeD20eDDacbB2587640e45491b757f,0x79FCDEF22feeD20eDDacbB2587640e45491b757f,FALSE,,,,
PhantaBear,https://opensea.io/collection/phantabear,0x67D9417C9C3c250f61A83C7e8658daC487B56B09,0x67D9417C9C3c250f61A83C7e8658daC487B56B09,FALSE,,,,
CyberKongz VX,https://opensea.io/collection/cyberkongz-vx,0x7EA3Cca10668B8346aeC0bf1844A49e995527c8B,0x7EA3Cca10668B8346aeC0bf1844A49e995527c8B,FALSE,,,,
Cool Pets NFT,https://opensea.io/collection/coolpetsnft,0x86C10D10ECa1Fca9DAF87a279ABCcabe0063F247,0x86C10D10ECa1Fca9DAF87a279ABCcabe0063F247,FALSE,,,,
Lazy Lions,https://opensea.io/collection/lazy-lions,0x8943C7bAC1914C9A7ABa750Bf2B6B09Fd21037E0,0x8943C7bAC1914C9A7ABa750Bf2B6B09Fd21037E0,FALSE,,,,
Kaiju Kingz,https://opensea.io/collection/kaiju-kingz,0x0c2E57EFddbA8c768147D1fdF9176a0A6EBd5d83,0x0c2E57EFddbA8c768147D1fdF9176a0A6EBd5d83,FALSE,,,,
